Date,iRate_1D
4/3/00,7.54549E-05
4/4/00,7.4955E-05
4/5/00,7.53299E-05
4/6/00,7.55799E-05
4/7/00,7.58297E-05
4/10/00,7.52049E-05
4/11/00,7.4955E-05
4/12/00,7.4955E-05
4/13/00,7.4705E-05
4/14/00,7.4705E-05
4/17/00,7.483E-05
4/18/00,7.4705E-05
4/19/00,7.4705E-05
4/20/00,7.44549E-05
4/24/00,7.45799E-05
4/25/00,7.44549E-05
4/26/00,7.39546E-05
4/27/00,7.39546E-05
4/28/00,7.483E-05
5/1/00,7.70782E-05
5/2/00,7.60795E-05
5/3/00,7.59546E-05
5/4/00,7.58297E-05
5/5/00,7.67038E-05
5/8/00,7.94472E-05
5/9/00,7.88242E-05
5/10/00,7.88242E-05
5/11/00,7.88242E-05
5/12/00,7.88242E-05
5/15/00,8.01945E-05
5/16/00,7.95719E-05
5/17/00,7.77021E-05
5/18/00,7.60795E-05
5/19/00,7.57048E-05
5/22/00,7.72031E-05
5/23/00,7.72031E-05
5/24/00,7.60795E-05
5/25/00,7.52049E-05
5/26/00,7.4955E-05
5/30/00,7.54549E-05
5/31/00,7.24527E-05
6/1/00,7.38295E-05
6/2/00,7.54549E-05
6/5/00,7.68287E-05
6/6/00,7.69534E-05
6/7/00,7.60795E-05
6/8/00,7.59546E-05
6/9/00,7.60795E-05
6/12/00,7.62044E-05
6/13/00,7.55799E-05
6/14/00,7.483E-05
6/15/00,7.508E-05
6/16/00,7.4955E-05
6/19/00,7.508E-05
6/20/00,7.44549E-05
6/21/00,7.4705E-05
6/22/00,7.508E-05
6/23/00,7.53299E-05
6/26/00,7.483E-05
6/27/00,7.4955E-05
6/28/00,7.4705E-05
6/29/00,7.52049E-05
6/30/00,7.55799E-05
7/3/00,7.70782E-05
7/5/00,7.69534E-05
7/6/00,7.73278E-05
7/7/00,7.75774E-05
7/10/00,7.83256E-05
7/11/00,7.83256E-05
7/12/00,7.91981E-05
7/13/00,7.93227E-05
7/14/00,7.91981E-05
7/17/00,7.89489E-05
7/18/00,7.90735E-05
7/19/00,7.93227E-05
7/20/00,7.93227E-05
7/21/00,7.86996E-05
7/24/00,7.96964E-05
7/25/00,7.95719E-05
7/26/00,7.93227E-05
7/27/00,7.98209E-05
7/28/00,7.95719E-05
7/31/00,8.04435E-05
8/1/00,8.01945E-05
8/2/00,8.01945E-05
8/3/00,7.99455E-05
8/4/00,7.99455E-05
8/7/00,8.05679E-05
8/8/00,8.0319E-05
8/9/00,8.01945E-05
8/10/00,8.01945E-05
8/11/00,8.06924E-05
8/14/00,8.04435E-05
8/15/00,8.05679E-05
8/16/00,8.04435E-05
8/17/00,8.04435E-05
8/18/00,8.04435E-05
8/21/00,8.08169E-05
8/22/00,8.05679E-05
8/23/00,8.06924E-05
